Sym. 1-layer,(0.01+0j),(0.07743243243243243+0j),(0.14486486486486488+0j),(0.21229729729729732+0j),(0.27972972972972976+0j),(0.3471621621621622+0j),(0.41459459459459463+0j),(0.48202702702702704+0j),(0.5494594594594595+0j),(0.616891891891892+0j),(0.6843243243243244+0j),(0.7517567567567568+0j),(0.8191891891891893+0j),(0.8866216216216217+0j),(0.9540540540540541+0j),(1.0214864864864865+0j),(1.088918918918919+0j),(1.1563513513513515+0j),(1.223783783783784+0j),(1.2912162162162164+0j),(1.3586486486486489+0j),(1.4260810810810811+0j),(1.4935135135135136+0j),(1.560945945945946+0j),(1.6283783783783785+0j),(1.695810810810811+0j),(1.7632432432432434+0j),(1.830675675675676+0j),(1.8981081081081081+0j),(1.9655405405405406+0j),(2.032972972972973+0j),(2.1004054054054055+0j),(2.167837837837838+0j),(2.23527027027027+0j),(2.3027027027027027+0j),(2.370135135135135+0j),(2.4375675675675677+0j),(2.505+0j),(2.5724324324324326+0j),(2.639864864864865+0j),(2.7072972972972975+0j),(2.7747297297297298+0j),(2.842162162162162+0j),(2.9095945945945947+0j),(2.977027027027027+0j),(3.0444594594594596+0j),(3.111891891891892+0j),(3.1793243243243245+0j),(3.246756756756757+0j),(3.314189189189189+0j),(3.3816216216216217+0j),(3.449054054054054+0j),(3.5164864864864867+0j),(3.583918918918919+0j),(3.6513513513513516+0j),(3.718783783783784+0j),(3.786216216216216+0j),(3.8536486486486488+0j),(3.921081081081081+0j),(3.9885135135135137+0j),(4.055945945945946+0j),(4.123378378378378+0j),(4.190810810810811+0j),(4.2582432432432435+0j),(4.325675675675676+0j),(4.393108108108108+0j),(4.46054054054054+0j),(4.527972972972973+0j),(4.595405405405406+0j),(4.662837837837838+0j),(4.73027027027027+0j),(4.797702702702703+0j),(4.8651351351351355+0j),(4.932567567567568+0j),(5+0j)
Sym. 2-layer,(83.5861865640644+0j),(24.150302379192272+0j),(2.6212282257031667+0j),(0.5645439729707711+0j),(0.1858600375592263+0j),(0.07762439750003157+0j),(0.03768443061409321+0j),(0.020281859536536908+0j),(0.012016818681051034+0j),(0.007865052691586993+0j),(0.006036467205596512+0j),(0.006901711889720102+0j),(0.015720923337484823+0j),(0.0842255709238825+0j),(1.0006077860626037+0j),(3.073624734178212+0j),(1.9496836890294638+0j),(1.1288331835564764+0j),(0.7657884200736381+0j),(0.5865099960970953+0j),(0.8642948195845007+0j),(2.13347469253266+0j),(1.6104419776014722+0j),(1.0191397998970775+0j),(0.7389831403214093+0j),(0.5711858284077687+0j),(0.4575780265975687+0j),(0.37793514897589453+0j),(0.34881355927661634+0j),(0.754651030491519+0j),(1.4470241473808432+0j),(0.9248720255716079+0j),(0.8989374966546282+0j),(2.134318032887057+0j),(1.9945528889973694+0j),(1.309190447173561+0j),(0.9872925623135129+0j),(0.7954082390653332+0j),(0.6622985172025304+0j),(0.5636161763598284+0j),(0.4963074839763654+0j),(0.5918176744673329+0j),(1.0477050112207904+0j),(0.8451385441216491+0j),(0.9917203580772523+0j),(1.2341114327735774+0j),(1.0833282658570935+0j),(1.772328357077026+0j),(1.3870199764555675+0j),(1.019114429745681+0j),(0.8305162333513213+0j),(0.708908022864086+0j),(0.6699516482570361+0j),(1.1150809287232506+0j),(1.3942186765133806+0j),(1.0049590854793258+0j),(0.7976924440841454+0j),(0.67931980358094+0j),(0.6256447786003028+0j),(0.9164721041965264+0j),(0.9900684214180969+0j),(1.332953527241068+0j),(1.3292093036969321+0j),(1.2591299294638603+0j),(1.0380741486130687+0j),(0.8989303210206094+0j),(1.2250226651699836+0j),(1.2739244534113645+0j),(0.9724958836147692+0j),(0.8134764029658942+0j),(0.7117782588463132+0j),(0.6366269000385651+0j),(0.5834625626886631+0j),(0.6524601473578489+0j),(1.244469469051002+0j)
Sym. 3-layer,(172.0038512492891+0j),(46.00073894246327+0j),(4.688226821042658+0j),(0.8376286853445964+0j),(0.19773597372007962+0j),(0.048455413012453576+0j),(0.009543475513481375+0j),(0.0006847029498149227+0j),(0.0005711098439531325+0j),(0.0025053371148115178+0j),(0.005065230531607197+0j),(0.009403271187789563+0j),(0.024317395305239308+0j),(0.13457063087658055+0j),(1.6044402129422484+0j),(3.9963630492569013+0j),(0.8793129315343028+0j),(0.24104327108886164+0j),(0.5036874758256354+0j),(0.7923968890752948+0j),(1.4252349681885716+0j),(2.8073858928600393+0j),(1.0582938621756843+0j),(0.6805473830523653+0j),(0.8225277637825675+0j),(0.8191567769353558+0j),(0.647827972962894+0j),(0.42222626972386135+0j),(0.28110353817603906+0j),(0.7990634503687992+0j),(1.1033319474600258+0j),(0.4688837570496924+0j),(1.125503960162693+0j),(2.608170128430332+0j),(1.4789321696959785+0j),(1.4281003503791416+0j),(1.4483494098664638+0j),(1.037310064487231+0j),(0.5518564942313032+0j),(0.26483248168737367+0j),(0.21794979602611889+0j),(0.5063805529769385+0j),(1.0498987354941374+0j),(0.8307551059688298+0j),(1.3959818671680293+0j),(1.24598345675189+0j),(1.2088565988166182+0j),(1.6315193859431327+0j),(1.1396539597210902+0j),(1.1565530116836487+0j),(0.8200049461370087+0j),(0.532666304413058+0j),(0.5550152743899165+0j),(1.2032095579044033+0j),(1.3623725129273097+0j),(1.394431895357514+0j),(1.0873663455646403+0j),(0.5209836185626869+0j),(0.30307726100453064+0j),(0.5769369499595824+0j),(0.9331544784081374+0j),(1.4949722669675003+0j),(1.4856662042032964+0j),(1.417325940279424+0j),(0.9757486711411225+0j),(0.7880617925594835+0j),(1.1200642752738514+0j),(1.3021618272113769+0j),(1.2996384421432057+0j),(0.8537929438880527+0j),(0.5208230528917744+0j),(0.4921084921644514+0j),(0.564146122370934+0j),(0.7158067833463444+0j),(1.1989800159682993+0j)
Sym. 4-layer,(261.069271589467+0j),(65.41035594594904+0j),(5.828012700669989+0j),(0.7699285324869067+0j),(0.160581208846587+0j),(0.013927672968796765+0j),(0.00475751662822479+0j),(0.0018033069404535958+0j),(0.0007024037551594202+0j),(0.0009477684642249487+0j),(0.003105792556956612+0j),(0.009023024822555147+0j),(0.02809329313307646+0j),(0.16226945860713238+0j),(1.9277639010183112+0j),(4.103899446317223+0j),(0.6308979923484477+0j),(0.07439447590097673+0j),(0.2307860019546008+0j),(0.664851631274169+0j),(1.7555838095426142+0j),(3.1214044828147482+0j),(1.037745644789294+0j),(0.469164380071084+0j),(0.5968353000416254+0j),(0.9864539760189804+0j),(0.9014405574225358+0j),(0.4451303718289626+0j),(0.14988813743894114+0j),(0.8031639111010078+0j),(1.0646326709005662+0j),(0.31210176763458963+0j),(1.1479533192258584+0j),(2.8617741376115333+0j),(1.3433442508805138+0j),(1.2151064452226537+0j),(1.8186310716592573+0j),(1.223548246488524+0j),(0.3550919104385114+0j),(0.12878029226099041+0j),(0.1752939790736423+0j),(0.47954269305765695+0j),(0.9579360033825977+0j),(0.8233978418661743+0j),(1.6198679217834184+0j),(1.2892138940133964+0j),(1.2018449817371046+0j),(1.6516549400785943+0j),(0.8600692258854724+0j),(1.3012762139089333+0j),(0.7995244708049568+0j),(0.44313573316274973+0j),(0.5391878286558027+0j),(1.1904604984330442+0j),(1.2265176068467323+0j),(1.6678268687062618+0j),(1.2396699769512272+0j),(0.3993484948644416+0j),(0.17047729555775673+0j),(0.43308007968677087+0j),(0.9233983312623888+0j),(1.666454576367694+0j),(1.5307442309753174+0j),(1.476050048938743+0j),(0.9453119106383706+0j),(0.8005212799356235+0j),(1.04571400893+0j),(1.2696795609642337+0j),(1.4513791060402133+0j),(0.8893725165089073+0j),(0.4990048189711629+0j),(0.37610738909516633+0j),(0.5175111174300775+0j),(0.7509383256621397+0j),(1.1817219513473214+0j)
Sym. 5-layer,(350.9151191960228+0j),(82.49476666738886+0j),(6.174062266391465+0j),(0.608181710526366+0j),(0.08227330685964805+0j),(0.015301190503197915+0j),(0.0031810161469706896+0j),(0.0002340720885886591+0j),(0.0003983741012654845+0j),(0.0013328925291013326+0j),(0.0028679039052377678+0j),(0.008310666710019947+0j),(0.029494639826547285+0j),(0.17768067285971695+0j),(2.106430542297167+0j),(4.104030900893593+0j),(0.5281270376611849+0j),(0.04469012107816909+0j),(0.10919760910441456+0j),(0.49725459128990845+0j),(1.9182275035339358+0j),(3.3750165600238735+0j),(1.0661692167839605+0j),(0.24898755914748044+0j),(0.42356322492258847+0j),(1.1753037372919806+0j),(1.062927186099501+0j),(0.376083656805972+0j),(0.11724695821947223+0j),(0.798325196405593+0j),(1.0220047766267815+0j),(0.22534197284825794+0j),(1.1383774877100623+0j),(3.067016068541027+0j),(1.2535614067492526+0j),(0.9866354282078393+0j),(2.1350839864081887+0j),(1.2571028336796153+0j),(0.26803348665277693+0j),(0.05224783410440123+0j),(0.12948223307179782+0j),(0.5000291840771037+0j),(0.9459581822945082+0j),(0.7653478347767714+0j),(1.7624745112153246+0j),(1.3430936887320217+0j),(1.0306006490296986+0j),(1.6789559754353918+0j),(0.7379460490942662+0j),(1.4436810284614363+0j),(0.7348740342045303+0j),(0.4224193993779497+0j),(0.5258425831732206+0j),(1.174984131101171+0j),(1.2305392730641924+0j),(1.8391499309723585+0j),(1.3190639988138029+0j),(0.3112086824031477+0j),(0.1114632314003362+0j),(0.36647103108325485+0j),(0.8790323608086015+0j),(1.8117170385139518+0j),(1.541830514753573+0j),(1.508271334268996+0j),(0.9377708141367478+0j),(0.82033258345369+0j),(0.9969225976782418+0j),(1.2254823694736572+0j),(1.5411913541121416+0j),(0.9162910961290991+0j),(0.5040723312860251+0j),(0.28006520619097885+0j),(0.5257698650607776+0j),(0.7709476537160944+0j),(1.1289434354724195+0j)
